歌手名字,artist_name
歌手名字,薛之谦
1334647784,天份
417859631,我好像在哪见过你 - (电影《精灵王座》主题曲)
32507038,演员
557583281,哑巴
471385043,暧昧
27890306,意外
415792881,刚刚好
27955653,你还要我怎样
32192436,绅士
557581967,肆无忌惮
516657051,像风一样
468517654,动物世界
1294910785,最好
169185,认真的雪
27955654,其实
574921549,怪咖
27955658,方圆几里 - (微电影《最熟悉的陌生人》主题曲)
571340283,那是你离开了北京的生活
27808044,丑八怪
35528482,一半
32507039,下雨了
515803379,别
474567044,我害怕
553543014,摩天大楼
466122271,高尚
525241230,狐狸 - (电影《二代妖精之今生有幸》推广曲)
412902689,初学者
518894283,骆驼
27955656,有没有
169137,我知道你都知道 - (电视剧《胜女的代价》插曲)
27955652,等我回家
33071053,为了遇见你
169140,几个你 - (电视剧《胜女的代价》插曲)
429450375,来日方长 - (电影《我不是潘金莲》方圆版推广曲)
520458481,背过手
443277013,火星人来过
517571371,渡
421160838,花儿和少年
27955655,我想起你了
35288183,小孩
169152,未完成的歌
418603445,重返十七岁(新版) - (《我去上学啦》第二季主题曲)
169142,伏笔
169188,爱我的人 谢谢你
169144,我终于成了别人的女人
169198,传说
27955651,潮流季
26600199,我们爱过就好 - (电影《音乐江湖》主题曲)
421148955,Stay Here
169200,深深爱过你(前世)
歌手名字,陈奕迅
551816010,我们 - (电影《后来的我们》主题曲)
25906124,不要说话
65533,红玫瑰
65528,淘汰
65538,好久不见
65766,富士山下
28563317,阴天快乐
66282,浮夸
65536,爱情转移 - (电影《爱情呼叫转移》主题曲)
28481103,你给我听好
65800,最佳损友
28481818,可以了
64634,一丝不挂
64093,孤独患者
25730757,稳稳的幸福 - (电影《越来越好之村晚》主题曲)
64293,苦瓜
27867449,倾城
64317,因为爱情 - (电影《将爱情进行到底》主题曲)
65923,人来人往 (Live)
31877628,十年(Live)
66285,葡萄成熟时
65761,白玫瑰
64126,内疚
64797,于心有愧
64922,落花流水
64443,约定(Live)
64561,单车(Live) - live
64048,完
186331,最冷一天
27483204,斯德哥尔摩情人
64833,沙龙
25638273,梦想天空分外蓝
67572,婚礼的祝福
64638,陀飞轮
27483203,失忆蝴蝶
65758,裙下之臣
65312,明年今日 - 2007 Live
35403523,陪你度过漫长岁月 - (电影《陪安东尼度过漫长岁月》主题曲)
64625,无人之境
65769,不如不见
438801672,让我留在你身边 - (电影《摆渡人》爱情版主题曲)
65904,十面埋伏 (Live)
66272,夕阳无限好
437802725,四季
28563314,时光隧道
64699,心的距离
64677,多少
36539010,Sleep Alone - (电影《陪安东尼度过漫长岁月》英文主题曲)
67787,预感
5251209,承诺(香港版)
歌手名字,林俊杰
554242032,飞云之下
108138,那些你很冒险的梦
29814898,可惜没如果 - (If Only…)
108478,醉赤壁 - (网游《赤壁Online》主题曲)
108914,江南
108242,她说
108251,当你
25727803,修炼爱情
108418,背对背拥抱
108245,爱笑的眼睛
108493,我还想她
108485,Always Online
37196629,不为谁而作的歌
108468,小酒窝
108886,一千年以后
108931,美人鱼
108134,学不会
108269,记得
108463,不潮不用花钱
108503,期待爱
108795,曹操
29848657,手心的蔷薇 - (Beautiful)
34040694,期待你的爱 - (电视剧《最佳前男友》片头曲)
29850685,生生 - (The Beacon)
108543,杀手
108248,只对你有感觉
25794009,裂缝中的阳光
247579,被风吹过的夏天 - (电视剧《最佳前男友》插曲)
25794008,黑暗骑士
108910,豆浆油条
108254,一眼万年
108263,心墙
108265,我很想爱他
417833348,超越无限 - (Infinity and Beyond)
108806,原来
1334849028,进阶
108965,冻结
108267,一生的爱
108428,爱不会绝迹 - (动画片《恐龙宝贝》主题曲)
25729074,因你而在
108401,第几个一百天
108827,你要的不是我 - (电视剧《爱情闯进门》插曲)
108260,握不住的他
108858,编号89757
108792,只对你说 (莎朗嘿唷)
108136,故事细腻
108576,发现爱
108950,就是我
40147554,关键词
108154,Love U U - (电影《夏日乐悠悠》主题曲)
歌手名字,林宥嘉
108390,说谎
562594267,成全
108179,浪费
108224,突然想起你(Live)
432509483,全世界谁倾听你  - (电影《从你的全世界路过》插曲)
108557,残酷月光
417833029,天真有邪
108194,傻子
108393,心酸
350651,我爱的人
108281,想自由
5247677,"背影 - (电视剧《斗牛, 要不要》插曲)"
350616,你是我的眼
108284,我总是一个人在练习一个人
417250911,我梦见你梦见我
108539,神秘嘉宾
1294910319,脆弱一分钟 - (电视剧《爱情进化论》片头曲)
108411,感同身受
479408180,船
862102137,推动摇篮的手
862098927,致姗姗来迟的你 (Live)
417250913,勿忘你
108277,自然醒
108536,眼色
108191,勉强幸福
417250908,坏与更坏
417250909,我已经敢想你
34614324,突然好想你(Live)
108567,心有林夕
108291,拥有
417833031,一点点
108182,诱
108170,思凡
108273,美妙生活
442898703,长大的童话 - (电影《西城童话》主题曲)
108571,再别康桥
26608581,离开地球表面 (Live)
428095030,天将明 - (电视剧《秦时明月》片头曲)
108549,请说
34179838,如同悲伤被下载了两次 
25850223,我只在乎你
417833028,让世界毁灭
417250910,飞
108294,早开的晚霞
296894,给小孩
5240868,吻得太逼真/酷爱(Live) - live
436016777,兜圈 - (电视剧《必娶女人》片尾曲)
108545,伯乐
108382,耳朵
108542,爱情是圆的
歌手名字,王贰浪
571338279,往后余生 - (原唱：马良)
1331819951,像鱼
1295945614,虚拟（Cover 陈粒）
564247897,越来越不懂（Cover 蔡健雅）
567999629,少一点天分（Cover 孙盛希）
1311345316,你是年少的欢喜 - (原唱：孟大C)
558290126,爱你
1310542851,盗将行（Cover：花粥）
863489767,蜜蜂 - (原唱：万岁爺)
564247926,谁（Cover 廖俊涛）
564247993,第三人称（Cover HusH!）
566521546,安河桥（Cover 宋冬野）
564257169,后来的我们（Cover 五月天）
564247979,二十岁的某一天（Cover 花粥）
565203857,喜欢（Cover 阿肆）
565203928,云烟成雨（Cover 房东的猫）
565200659,后来（Cover 刘若英）
564247829,坠落（Cover 蔡健雅）
564853818,郭源潮（Cover 宋冬野）
570219007,莉莉安（Cover 宋冬野）
564251552,骗自己（Cover AY楊佬叁）
564258066,牵丝戏（Cover 银临&Aki阿杰）
1340457318,余恨情长（Cover：曾令彪）
1304203085,抛物线（Cover：蔡健雅）
571336293,往后余生-伴奏
564254297,EasyComeEasyGo（Cover 蔡健雅）
1331819952,像鱼 (伴奏)
1311346337,你是年少的欢喜（伴奏）
563282238,爱你（Cover 陈芳语）
1332137728,一曲相思（Cover：半阳）
862108882,走马（Cover 陈粒）
562592206,往后余生（Cover 马良）
1304194473,寂寞的恋人啊（Cover：莫文蔚）
573605137,童话镇（Cover 陈一发儿）
571336045,纸短情长（cover：烟把儿）
565217252,有没有（Cover 韦礼安）
564252472,体面（Cover yu文文）
564257160,蜜蜂（Cover 万琳玲）
歌手名字,李荣浩
