1 Twin Oaks Place
10 Marquette Rd.
100 N Court Square 
1000 First Street N-P O Box 488
1000 George Wallace Dr-P O Box 227
1007 Goodyear Avenue
1009 marvel Way
101 Sivley Road
1019 Deerfield Rd.
1065 Hillcrest Circle
1077 Court Ave.
109 Government Street-P O Box 1443
11 South Union Street 
110 South Sixth Street-P O Box 2447
1101 Deerfield Place
1101 N Court Street
1126 Hillcrest Ave
115 Judson Rd.
115 Pleasent Ave.
1155 Ridgewood Drive
1185 County line Rd.
12 Broadview Lane
12 Craven Way
12 Fort Sheriden Ave.
12 Skokie Valley Rd.
12 Walker Ave.
120 high St.
1205 Hickman Avenue-P O Box 701
1220 Heather Lane
1233 Arbor Rd.
1234 Devonshire Court
1235 Easton Rd.
1235 Forest Avenue
1245 Eastwood
126 N Saint Andrews St-P O Box 2128
1270 Linden Ave.
1287 Glencoe Ave.
1337 Cavell Ave.
135 Lakewood place
139 Bay Colony Dr.
1409 Coliseum Boulevard
1415 South Roselle Road
1436 Waverly Rd.
1444 Chantilly Ln.
1450 Harding Ave.
1482 Concorde Circle
14836 W. River Oaks Dr.
1486 Oakwood
1486 Old Deerfield Rd.
1500 East Fairview Avenue
1535 Knollwood Drive
1547 Knolwood Rd.
1547 Vine
1550 Ridge Rd.
1575 Oak Ave.  Apt. 2C
1575 Oakwood Ave.
1600 Fairview Avenue-P O Box 6987
1600 N 26th Street
1619 Judson Ave. Apt #34B
1633 McGovern place
1658 Second St.
1660 Park Ave.
1679 McCraren
1701 W. Mellody Rd.
1704 Ridgelee Rd
1714 Clifton Rd.
1715 Chicago Ave.
172 Cahaba Valley Parkway
175 beech St.
1750 Lily Court
1752 Clinton Ave.
1770 first St.
1777 balsamic Ave.
1795 Lake Cook Rd.
1799 Rosemary Way
1801 First Avenue S-P O Box 10448
1801 University Blvd
1831 Beverly Place #9D
1839 McCraren Rd.
1858 Balsam Way
1859 Green Bay Rd.
1860 Parkside Ln.
1875 Roger Williams Ave.
1876 Data Drive
1882 St. Johns
1907 S. Prospect Ave.
1912 Old Briar Lane #2
1915 Lewis Ln.  Apt 13
1920 Sunnyside Ave.
1949 Cloverdale Rd.
1954 First St.
1957 Huntington Ave.
1975 elmwood Circle
200 Broad Street-P O Box 389
2000 9th Street-P O Box 90
2000 Ninth Avenue S-P O Box 55305
201-C Frontage Rd.
2024 St.Johns Ave.
2032 Northbrook Ct.
2045 St. johns Ave.
21 Lakeview Terrace #2312
210 Automation Way-P O Box 830600
210 Cresant Rd.
2101 Sixth Avenue N
2105 E South Boulevard
2108 E South Boulevard-P O Box 1100
2112 Ravine Drive
2148 Eastview Dr.
218 Oakridge Ave.
22 Clay rd.
220 Vine Ave.
2204 Lakeshore Drive
2220 Grant Blvd.
2224 Sherman Rd.
224  Highwood Ave.
225 Jeffrys Place
2267 Anderson Lane
231 Sheriden Rd.
24-A Avrogado Way
241 Callan Rd.
242 Ashland Ave.
244 Briar Ln
245 Oakridge Ave.
2451 Fillingim Street
2479 Woodridge Drive
2505 Allison ct.
2510 Crain
2600 Winsor Mall 
2601 Carson Road
2632 Prarie Ln.
2644 Princeton Ln.
266 Green Bay Rd.
2678 Sheridan Rd. 
2800 Dauphin Street
2801 U S Highway 280 S
2850 W Main Street
2870 Skokie Rd.
2922 Twin Oaks Drive
2930 N 16th Street-P O Box 2727
2936 Arlington Ave.
300 Coca Cola Road
301 Beacon Parkway W
301 Sparkman Drive
302-A Crestwood Village Rd.
305 Delchamps Drive-P O Box 1668
3059 Priscilla Court
3062 Lindenwood Ln.
307 University Boulevard
310 Walker Ave.
3100 Trailer Way
313 Grove Ave.
3148 cottonwood Ct.
3150 Skokie Valley Rd.
3160 Summit Ave.
3181 Barkwood Ct.
3242 Leeman Ferry Road-P O Box 48
3300 First Avenue N-P O Box 10406
334 Lynn Terrace
3344 Beachwood Ln.
3385 University Ave.
3478 Bryn Mawr St.
3487 Green Bay Rd.  
35 Glenlake Dr.
3509 E Second Alloys Plant-P O 910
355 Golf Rd.
367Bluebird Terr.
368 Woodland Rd.
38976 Forest View Rd.
3901 Chester Ave. Apt. 3C
4000 Tenth Ave North-P O Box 10326
406 Trinity Ct.
42 Valley Rd.
425 Lake Ave.
4259 W. Lake Ave.
430 Oakland Drive
43078 Kennedy Dr.
433 Burton Ave.
445 Park Ave.
4467 Sheridan Rd.
45 South Deer Creek Drive
450 Riverchase Parkway E
4520 Executive Park Dr-P O Box 949
4522 N. Greenview Apt. 1B 
456 Grossman Ln.
456 Groverland Ave.
465 Stratford Rd.
4763 Blackhawk Rd.
50 N Ripley Street
500 Office Park Drive
505 N. Frances St.
511 Hill
511 Maple Ave.  Apt. 1B
512 Hill
54 Lakeview Terrace
550 Sheridan
5518 Madison St.
567 Pasadena Ave.
574 Chicago Ave.
577 First St.
581 Hill St. Apt. 234
59 Cordon Terr.
600 Central Ave
600 N 18th Street-P O Box 2641
614 green bay Rd.
616 Cobblestone Cir.
618 Sheriden rd.
624 S Alabama Avenue-P O Box 3000
628 Orwenstensia
629 Kincaid Ave.
632 Florence Dr.
632 Roger Williams
643 De Temple Rd.
6434 First Avenue N-P O Box 2554
649 Monroe Street 
649 Monroe Street 
654 Walnut Rd.
662 Lyons Circle
669 Kikaid
671 Blackstone Ave.
673 Calais Drive
679 Carson St.
6880 Wynton Blunt Road
70 Bagby Drive-P O Box 10247
701 Lloyd Noland Pky-P O Box 538
701 S 20th Street-P O Box 10566
726 White Oaks Ave.
744 N 41st Street-P O Box 2623
746 Judson Place
750 Homewood Ave.
750 Lakeshore Parkway
77 Blackhawk Rd
770 Exmoor Rd.
785 Highland place
788 Catamaugus Ave.
788 Tennyson Ave.
800 Lakeshore Drive
800 North Lindbergh Boulevard
800 Shades Creek Pkwy-P O Box 2625
807 Old Trail Rd.
812 North Ave.
8182 Maryland Avenue
839 Burton Ave
844 Spruce St.
852 Sumac Rd.
854 Woodbine
857 Woodbine Rd
865 Old Tall Tree Lane
872 Virginia Rd.
886 Yale Lane
89 Madison St.
899 Harvard Ct
900 Arkadelphia Road
917 Fairview Ave.  Apt. 982
922 East Meighan Boulevard
929 Brittany Ave.
937 Judson Ave.
940 Moore Street N E-P O Box 455
95 St Clair Avenue West
965 Marion Place Apt. 65C
969 Saxony Drive
970 Vilas Circle
Computer Center Station 6520
Eight Commerce Street
Finley Island Road-P O Box 2215
Five Mobile Infirmary Circle
Geigy Road-P O Box 113
Highway 20 W-P O Box 2204
Highway 27-P O Box 549
Highway 280 E-P O Box 1943
Highway 31 S-P O Box 709
Highway 43-P O Box 141
Highway 431-P O Box Z
Highway 78-Rural Route 6 Box 27
Highway 78 South-P O Drawer 9
Highway 80 W-P O Box 250577
One East Fourth Street
One Lee Street-P O Box 272
One Metroplex Drive-P O Box 530187
Parker Hall 
Parker Road Hwy 98-P O Drawer 409
Samford Hall 
The Pentagon
Twitchel Road-P O Box 8888
Two S 32nd Street
