INFO   | jvm 1    | 2019/01/26 10:30:43 | 0005000017新增flmeterdata放弃,异常数据总累积量：77761抛弃原文: 68000500001701806888c3c4004b1002000500002819012610350000000000000000000000000000000000000000000000000000002fc1000147ae44e60000000000000000000000000000eb86401180000000002fc1000100ce16
INFO   | jvm 1    | 2019/01/27 01:52:30 | 0005000017新增flmeterdata放弃,异常数据总累积量：78009抛弃原文: 68000500001710806888c3c4004b10020005000028190127015700000000000000000000000000000000000000000000000000000030b90001999a449f0000000000000000000000000000eb864011800000000030b9000100da16
INFO   | jvm 1    | 2019/01/27 07:19:05 | 0005000012新增flmeterdata放弃,异常数据总累积量：529800抛弃原文: 68000500001202406888c3c4004b10020005000023190127072400000000000000000000000000000000000000000000000000000015880008fc604a930000000000000000000000000000147c3fce00000000007df2f3d000d616
INFO   | jvm 1    | 2019/01/27 15:25:18 | 0005000015新增flmeterdata放弃,异常数据标况总量：46905标况流量：1127980515抛弃原文: 6800050000151bc06888c3c4004b100200050000261901271529b7390000cd4000009de3433bef8d4355a96741a759bf42b2000054b73900002e0f47da00000000000000000000000000008f5d3fc28000000000b6dc0000008f16
INFO   | jvm 1    | 2019/01/28 01:06:39 | 0005000017新增flmeterdata放弃,异常数据总累积量：78201抛弃原文: 68000500001718806888c3c4004b10020005000028190128011100000000000000000000000000000000000000000000000000000031790001c28f44510000000000000000000000000000eb86401180000000003179000100ef16
INFO   | jvm 1    | 2019/01/28 01:22:07 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 68000500000706c06888c3c4004b10020005000014190128012574e800007dc900000000000000000000f85341d0c08b42c900002074e80000c66643ea000000000000000000000000000085203fcb800000000074d40000002f16
INFO   | jvm 1    | 2019/01/28 02:23:10 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 6800050000070cc06888c3c4004b10020005000014190128022674e800007dc900000000000000000000054f41d66c9f42ca00002074e80000c66643ea000000000000000000000000000085203fcb800000000074d40000000716
INFO   | jvm 1    | 2019/01/28 03:10:44 | 0005000008新增flmeterdata放弃,异常数据压力：2.81475681E14抛弃原文: 6800050000080fc06888c3c4004b1002000500001619012803121d0004006084000229418f80000000000042000000155780000000889031b9000000000000000097164c980000000000000a3e3fb70400000000ed2ef6b600d416
INFO   | jvm 1    | 2019/01/28 03:24:01 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 68000500000712c06888c3c4004b10020005000014190128032774e800007dc900000000000000000000b3e941d67b9a42c900002074e80000c66643ea000000000000000000000000000085203fcb800000000074d40000006016
INFO   | jvm 1    | 2019/01/28 04:12:37 | 0005000017新增flmeterdata放弃,异常数据总累积量：78201抛弃原文: 6800050000171f006888c3c4004b10020005000028190128041700000000000000000000000000000000000000000000000000000031790001c28f44510000000000000000000000000000eb864011800000000031790001007f16
INFO   | jvm 1    | 2019/01/28 04:25:05 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 68000500000718c06888c3c4004b10020005000014190128042874e800007dc9000000000000000000004d5841d53fc542c800002074e80000c66643ea000000000000000000000000000085203fcb800000000074d40000005e16
INFO   | jvm 1    | 2019/01/28 04:45:04 | 0005000012新增flmeterdata放弃,异常数据单价：1124893328抛弃原文: 68000500001213006888c3c4004b10020005000023190128045000000000000000000000000000000000000000000000000000000014b90000d33343ec00000000000000000000000000008290430c800000000014b9000000d416
INFO   | jvm 1    | 2019/01/28 05:26:07 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 6800050000071ec06888c3c4004b10020005000014190128052974e800007dc900000000000000000000e6ca41d20b0342c100002074e80000c66643ea000000000000000000000000000085203fcb800000000074d40000007116
INFO   | jvm 1    | 2019/01/28 06:00:38 | 0005000017新增flmeterdata放弃,异常数据总累积量：78201抛弃原文: 68000500001705006888c3c4004b10020005000028190128060500000000000000000000000000000000000000000000000000000031790001c28f44510000000000000000000000000000eb864011800000000031790001005516
INFO   | jvm 1    | 2019/01/28 06:27:10 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 68000500000704c06888c3c4004b10020005000014190128063074e800007dc900000000000000000000cc8941ccd9de42bf00002074e80000c66643ea000000000000000000000000000085203fcb800000000074d4000000a516
INFO   | jvm 1    | 2019/01/28 07:06:09 | 0005000015新增flmeterdata放弃,异常数据标况总量：47846标况流量：1127277560抛弃原文: 68000500001511006888c3c4004b100200050000261901280710bae60000d15b0000e3f8433014c74346c9164138cc0142af000059bae6000062e647d700000000000000000000000000008f5d3fc28000000000ba890000008e16
INFO   | jvm 1    | 2019/01/28 07:23:24 | 0005000010新增flmeterdata放弃,异常数据标况总量：276558标况流量：1120383795抛弃原文: 68000500001009806888c3c4004b100200050000181901280723384e000468d60003b33342c7cccd42e71eb840dd000042a700000068d60003ef304728000000000000000000000000000066673fc680000000003b570003007116
INFO   | jvm 1    | 2019/01/28 07:23:25 | 0005000010新增flmeterdata放弃,异常数据标况总量：396796标况流量：1120797983抛弃原文: 68000500001009c06888c3c4004b1002000500001919012807230dfc0006b1c40003051f42ce51ec42efb85240e6000042a7000000b1c400036fe64715000000000000000000000000000066673fc6800000000087a30003008e16
INFO   | jvm 1    | 2019/01/28 07:23:26 | 0005000010新增flmeterdata放弃,异常数据标况总量：178271标况流量：1117905224抛弃原文: 6800050000100a006888c3c4004b100200050000201901280723b85f00020d180003e14842a15c2942bc333340f3000042a70000000d180003b3f646f6000000000000000000000000000066673fc68000000000e2110002009216
INFO   | jvm 1    | 2019/01/28 07:23:27 | 0005000010新增flmeterdata放弃,异常数据标况总量：139300标况流量：1118770299抛弃原文: 6800050000100a406888c3c4004b1002000500002119012807232024000220240002147b42af333342cc851f4103000042a700000020240002f1f146cd000000000000000000000000000066673fc680000000009bf30001009a16
INFO   | jvm 1    | 2019/01/28 07:28:10 | 0005000007新增flmeterdata放弃,异常数据总累积量：29928抛弃原文: 6800050000070ac06888c3c4004b10020005000014190128073174e800007dc90000000000000000000054fe41cea7da42bd00002074e80000c66643ea000000000000000000000000000085203fcb800000000074d40000007416
INFO   | jvm 1    | 2019/01/28 07:28:10 | 0005000007新增flmeterdata放弃,异常数据标况总量：47989标况流量：1124862089抛弃原文: 6800050000070b006888c3c4004b100200050000151901280731bb750000ca3800000889430c712e4316b67c41a409cd42bd000076bb750000e45c46d90000000000000000000000000000e1493fba8000000000bb540000009416
INFO   | jvm 1    | 2019/01/28 07:36:13 | 0005000015新增flmeterdata放弃,异常数据标况总量：47934标况流量：1127350140抛弃原文: 68000500001513c06888c3c4004b100200050000261901280740bb3e0000d1be0000ff7c433124ce4346284541293b9842b0000069bb3e0000200547d700000000000000000000000000008f5d3fc28000000000bae10000001816
INFO   | jvm 1    | 2019/01/28 07:42:46 | 0005000004新增flmeterdata放弃,异常数据标况总量：560052标况流量：1127028490抛弃原文: 6800050000041d006888c3c4004b1002000500001019012807448bb400088bb40008170a432d26664346cccd4094000042a80000008bb400086ca445c400000000000000000000000000008f5d3fc28000000000bdd7000100f116
INFO   | jvm 1    | 2019/01/28 07:53:29 | 0005000010新增flmeterdata放弃,异常数据标况总量：276745标况流量：1120615793抛弃原文: 6800050000100d006888c3c4004b10020005000018190128075339090004691200033d7142cb5c2942ea999a40a1000042a70000006912000392314728000000000000000000000000000066673fc680000000003b930003001716
